"x","y","X202312"
-76.9183211473235,12.5203067444457,-9999
-76.4691635052647,12.5203067444457,-9999
-76.0200058632059,12.5203067444457,-9999
-75.5708482211471,12.5203067444457,-9999
-75.1216905790882,12.5203067444457,-9999
-74.6725329370294,12.5203067444457,-9999
-74.2233752949706,12.5203067444457,-9999
-73.7742176529118,12.5203067444457,-9999
-73.3250600108529,12.5203067444457,-9999
-72.8759023687941,12.5203067444457,-9999
-72.4267447267353,12.5203067444457,-9999
-71.9775870846765,12.5203067444457,7.74397904024227e-06
-71.5284294426177,12.5203067444457,-9999
-71.0792718005588,12.5203067444457,-9999
-70.6301141585,12.5203067444457,-9999
-70.1809565164412,12.5203067444457,9.99683288682718e-06
-69.7317988743823,12.5203067444457,9.92759760265471e-06
-69.2826412323235,12.5203067444457,-9999
-68.8334835902647,12.5203067444457,-9999
-68.3843259482059,12.5203067444457,-9999
-67.935168306147,12.5203067444457,-9999
-67.4860106640882,12.5203067444457,-9999
-67.0368530220294,12.5203067444457,-9999
-81.4098975679118,12.0711491023804,-9999
-80.9607399258529,12.0711491023804,-9999
-80.5115822837941,12.0711491023804,-9999
-80.0624246417353,12.0711491023804,-9999
-79.6132669996765,12.0711491023804,-9999
-79.1641093576176,12.0711491023804,-9999
-78.7149517155588,12.0711491023804,-9999
-78.2657940735,12.0711491023804,-9999
-77.8166364314412,12.0711491023804,-9999
-77.3674787893824,12.0711491023804,-9999
-76.9183211473235,12.0711491023804,-9999
-76.4691635052647,12.0711491023804,-9999
-76.0200058632059,12.0711491023804,-9999
-75.5708482211471,12.0711491023804,-9999
-75.1216905790882,12.0711491023804,-9999
-74.6725329370294,12.0711491023804,-9999
-74.2233752949706,12.0711491023804,-9999
-73.7742176529118,12.0711491023804,-9999
-73.3250600108529,12.0711491023804,-9999
-72.8759023687941,12.0711491023804,-9999
-72.4267447267353,12.0711491023804,-9999
-71.9775870846765,12.0711491023804,2.83242434306885e-06
-71.5284294426177,12.0711491023804,5.59087084184284e-06
-71.0792718005588,12.0711491023804,4.46513467977638e-06
-70.6301141585,12.0711491023804,-9999
-70.1809565164412,12.0711491023804,1.31897431856487e-05
