x,y,Evap_mm_Mes,Prec_mm_Mes,HumedadSuelo_FracVol_Mes,Taire_Kelvin_Mes,Fecha,Pais,Dpto,Mpio
-75.1216905786111,6.68125739786364,110.717687406577,345.514420419931,0.427596807479858,293.818664550781,2021-10-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,106.729543302208,237.362378044054,0.419002771377563,293.316650390625,2021-11-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,101.808081613854,122.711653355509,0.413254618644714,293.415008544922,2021-12-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,106.55720718205,55.0928382435815,0.39271342754364,293.440521240234,2022-01-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,118.781369528733,194.710263283923,0.384579926729202,293.868713378906,2022-02-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,97.1159865148365,237.39094985649,0.409415364265442,293.417510986328,2022-03-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,91.3443861063569,361.188822425902,0.428094089031219,293.170135498047,2022-04-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,110.340633778833,324.521851725877,0.429800450801849,293.641693115234,2022-05-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,107.97865013592,297.098116949201,0.428253889083862,292.811340332031,2022-06-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,162.49810019508,274.786096299066,0.423709452152252,292.602447509766,2022-07-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,126.518588047475,399.284383747726,0.429533064365387,293.31298828125,2022-08-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,118.72120841872,402.74581639096,0.430402100086212,293.011657714844,2022-09-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,95.243750140071,327.457864768803,0.429055333137512,292.660430908203,2022-10-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,95.6206340342759,380.196074489504,0.429438591003418,292.53125,2022-11-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,110.115774557926,81.7640782333911,0.409691214561462,292.361572265625,2022-12-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,111.550730187446,167.494282359257,0.406570911407471,292.407257080078,2023-01-01,Colombia,Antioquia,Yolombó
